College Name,City,State,SAT Range,Acceptance Rates
University of Chicago,Chicago,Illinois,1500-1570,6
California Institute of Technology,Pasadena,California,1530-1580,7
Massachusetts Institute of Technology,Cambridge,Massachusetts,1450-1600,7
Pomona College,Claremont,California,1390-1540,9
Bowdoin College,Brunswick,Maine,1360-1510,9
Swarthmore College,Swarthmore,Pennsylvania,1390-1540,9
Colby College,Waterville,Maine,1380-1520,10
Johns Hopkins University,Baltimore,Maryland,1470-1560,11
Amherst College,Amherst,Massachusetts,1430-1560,12
Claremont McKenna College,Claremont,California,1330-1500,13
Bates College,Lewiston,Maine,1385-1460,14
Colorado College,Colorado Springs,Colorado,None Found,14
Harvey Mudd College,Claremont,California,1490-1570,14
Tufts University,Medford,Massachusetts,1380-1530,15
Williams College,Williamstown,Massachusetts,1410-1550,15
Washington University in St. Louis,Saint Louis,Missouri,1480-1560,16
Carnegie Mellon University,Pittsburgh,Pennsylvania,1460-1560,17
Pitzer College,Claremont,California,1300-1450,17
Hamilton College,Clinton,New York,1380-1510,18
Haverford College,Haverford,Pennsylvania,1360-1520,18
Emory University,Atlanta,Georgia,1380-1530,19
Grinnell College,Grinnell,Iowa,1370-1540,19
United States Coast Guard Academy,New London,Connecticut,1220-1400,20
Carleton College,Northfield,Minnesota,1330-1520,21
New York University,New York,New York,1370-1540,21
Wesleyan University,Middletown,Connecticut,1300-1480,21
Middlebury College,Middlebury,Vermont,1340-1520,22
United States Merchant Marine Academy,Kings Point,New York,1220-1360,24
Vassar College,Poughkeepsie,New York,1360-1520,25
Washington & Jefferson College,Washington,Pennsylvania,1350-1500,25
Babson College,Wellesley,Massachusetts,1270-1450,27
Denison University,Granville,Ohio,1220-1430,28
Brandeis University,Waltham,Massachusetts,1320-1510,30
Case Western Reserve University,Cleveland,Ohio,1340-1520,30
Skidmore College,Saratoga Springs,New York,1220-1400,32
Berea College,Berea,Kentucky,1080-1280,33
University of Rochester,Rochester,New York,1330-1510,35
Scripps College,Claremont,California,1320-1480,35
Oberlin College,Oberlin,Ohio,1270-1360,36
Kenyon College,Gambier,Ohio,1280-1460,37
Franklin & Marshall College,Lancaster,Pennsylvania,1200-1420,37
Connecticut College,New London,Connecticut,1310-1450,38
Macalester College,Saint Paul,Minnesota,1280-1450,39
Clarks Summit University,Clarks Summit,Pennsylvania,>873-1126,41
Emerson College,Boston,Massachusetts,1190-1380,41
Occidental College,Los Angeles,California,1270-1460,41
North Park University,Chicago,Illinois,>940-1150,44
Brevard College,Brevard,North Carolina,>850-1050,45
SUNY New Paltz,New Paltz,New York,1070-1260,45
Manhattan Christian College,Manhattan,Kansas,>760-1320,46
Crown College,Saint Bonifacius,Minnesota,>960-1150,47
Hampden-Sydney College,Hampden Sydney,Virginia,1040-1220,47
McMurry University,Abilene,Texas,>940-1130,47
St. Lawrence University,Canton,New York,1180-1360,47
Gettysburg College,Gettysburg,Pennsylvania,1200-1370,48
St. Olaf College,Northfield,Minnesota,1150-1390,48
Austin College,Sherman,Texas,1110-1310,49
Belhaven University,Jackson,Mississippi,>980-1130,49
Howard Payne University,Brownwood,Texas,>940-1110,49
Southwestern University,Georgetown,Texas,1110-1300,49
Defiance College,Defiance,Ohio,>890-1050,50
Rhodes College,Memphis,Tennessee,1220-1400,51
Rockford University,Rockford,Illinois,>900-1100,51
The College of New Jersey,Ewing,New Jersey,1140-1320,51
Dickinson College,Carlisle,Pennsylvania,1190-1365,52
Maine Maritime Academy,Castine,Maine,1000-1160,52
SUNY Cortland,Cortland,New York,1100-1220,52
Clark University,Worcester,Massachusetts,1150-1350,53
North Central College,Naperville,Illinois,1050-1230,53
Stevens Institute of Technology,Hoboken,New Jersey,1320-1480,53
University of Dallas,Irving,Texas,1130-1350,54
Whitman College,Walla Walla,Washington,1230-1430,54
Sarah Lawrence College,Bronxville,New York,1220-1410,55
Adrian College,Adrian,Michigan,>940-1120,56
Buena Vista University,Storm Lake,Iowa,>930-1110,56
SUNY College at Oneonta,Oneonta,New York,>980-1150,56
University of the Ozarks,Clarksville,Arkansas,>950-1230,56
Bard College,Annandale-On-Hudson,New York,>ï¿½ï¿½<!-,57
Blackburn College,Carlinville,Illinois,>890-1090,57
Illinois Wesleyan University,Bloomington,Illinois,1100-1300,57
Webster University,Saint Louis,Missouri,1040-1260,57
Rensselaer Polytechnic Institute ï¿½ï¿½ï,Troy,New York,1300-1500,57
Beloit College,Beloit,Wisconsin,1080-1380,58
Chapman University,Orange,California,1170-1350,58
Lake Forest College,Lake Forest,Illinois,1020-1240,58
Loras College,Dubuque,Iowa,>960-1140,58
SUNY College at Brockport,Brockport,New York,1000-1160,58
Earlham College,Richmond,Indiana,1110-1330,59
Greenville University,Greenville,Illinois,>880-1100,59
Huntingdon College,Montgomery,Alabama,1030-1170,59
Texas Lutheran University,Seguin,Texas,1020-1170,59
Worcester Polytechnic Institute,Worcester,Massachusetts,1310-1480,59
Birmingham-Southern College,Birmingham,Alabama,1020-1190,60
LaGrange College,LaGrange,Georgia,>980-1130,60
Milwaukee School of Engineering,Milwaukee,Wisconsin,1180-1370,60
SUNY Farmingdale State College,Farmingdale,New York,>990-1150,60
Toccoa Falls College,Toccoa Falls,Georgia,>920-1150,60
Benedictine University,Lisle,Illinois,>980-1160,61
Bluffton University,Bluffton,Ohio,>840-1050,61
Eureka College,Eureka,Illinois,>940-1110,61
Illinois Institute of Technology,Chicago,Illinois,1200-1390,61
SUNY Geneseo,Geneseo,New York,1140-1310,61
SUNY Plattsburgh,Plattsburgh,New York,>980-1170,61
William Peace University,Raleigh,North Carolina,>940-1130,61
Alma College,Alma,Michigan,1030-1230,62
Maryville College,Maryville,Tennessee,>880-1160,62
Medaille College,Buffalo,New York,>850-1100,62
Muhlenberg College,Allentown,Pennsylvania,1170-1350,62
Gallaudet University,Washington,District Of Columbia,>780-1040,63
University of Valley Forge,Phoenixville,Pennsylvania,>790-1050,63
Wabash College,Crawfordsville,Indiana,1120-1320,63
Alfred University,Alfred,New York,>970-1200,64
Centenary College of Louisiana,Shreveport,Louisiana,>980-1190,64
Central College,Pella,Iowa,>980-1230,64
Eastern Nazarene College,Quincy,Massachusetts,>900-1150,64
Luther College,Decorah,Iowa,1030-1280,64
Northland College,Ashland,Wisconsin,1000-1135,64
Bethany Lutheran College,Mankato,Minnesota,>950-1150,65
College of Wooster,Wooster,Ohio,1150-1380,65
Lycoming College,Williamsport,Pennsylvania,1010-1210,65
Ohio Northern University,Ada,Ohio,1100-1320,65
SUNY Delhi,Delhi,New York,>920-1120,65
Chatham University,Pittsburgh,Pennsylvania,>ï¿½ï¿½<!-,66
Eastern University,Saint Davids,Pennsylvania,1010-1190,66
Pratt Institute,Brooklyn,New York,1120-1340,66
Carroll University,Waukesha,Wisconsin,1050-1230,67
Ramapo College of New Jersey,Mahwah,New Jersey,1040-1220,67
Yeshiva University,New York,New York,1140-1410,67
DePauw University,Greencastle,Indiana,1110-1360,68
Elmhurst University,Elmhurst,Illinois,>980-1170,68
Oglethorpe University,Atlanta,Georgia,1100-1280,68
Ohio Wesleyan University,Delaware,Ohio,>990-1250,68
Springfield College,Springfield,Massachusetts,1200-1300,68
Averett University,Danville,Virginia,>880-1090,69
Dean College,Franklin,Massachusetts,>910-1100,69
Endicott College,Beverly,Massachusetts,>980-1160,69
Hamline University,Saint Paul,Minnesota,1000-1250,69
Hanover College,Hanover,Indiana,1060-1230,69
Lawrence University,Appleton,Wisconsin,1190-1410,69
Monmouth College,Monmouth,Illinois,1050-1260,69
Rosemont College,Rosemont,Pennsylvania,>910-1170,69
SUNY Oswego,Oswego,New York,1020-1190,69
Wentworth Institute of Technology,Boston,Massachusetts,1090-1280,69
Alvernia University,Reading,Pennsylvania,>940-1130,70
Baldwin Wallace University,Berea,Ohio,1040-1260,70
Eastern Connecticut State University,Willimantic,Connecticut,n>19-24</,70
Manchester University,North Manchester,Indiana,>865-1090,70
Millsaps College,Jackson,Mississippi,1080-1290,70
Nebraska Wesleyan University,Lincoln,Nebraska,>990-1250,70
Piedmont University,Demorest,Georgia,>980-1160,70
Gustavus Adolphus College,Saint Peter,Minnesota,1080-1340,71
Hendrix College,Conway,Arkansas,1150-1360,71
Hood College,Frederick,Maryland,>910-1160,71
Juniata College,Huntingdon,Pennsylvania,n>23-30</,71
Knox College,Galesburg,Illinois,1080-1320,71
Millikin University,Decatur,Illinois,>940-1160,71
Olivet College,Olivet,Michigan,>850-1070,71
Randolph-Macon College,Ashland,Virginia,1030-1230,71
Rochester Institute of Technology,Rochester,New York,1220-1420,71
York College of Pennsylvania,York,Pennsylvania,>990-1190,71
Centre College,Danville,Kentucky,1100-1340,72
Eastern Mennonite University,Harrisonburg,Virginia,>980-1230,72
SUNY Fredonia,Fredonia,New York,1000-1210,72
SUNY Potsdam,Potsdam,New York,>ï¿½ï¿½<!-,72
Whittier College,Whittier,California,1040-1220,72
Allegheny College,Meadville,Pennsylvania,1140-1350,73
Augsburg University,Minneapolis,Minnesota,1060-1300,73
Drew University,Madison,New Jersey,1030-1250,73
Franciscan University of Steubenville,Steubenville,Ohio,1070-1290,73
Geneva College,Beaver Falls,Pennsylvania,1020-1240,73
SUNY Maritime College,Throggs Neck,New York,1070-1230,73
Susquehanna University,Selinsgrove,Pennsylvania,1020-1230,73
University of Dubuque,Dubuque,Iowa,>840-1070,73
Wilmington College,Wilmington,Ohio,>930-1160,73
Albion College,Albion,Michigan,>930-1160,74
Arcadia University,Glenside,Pennsylvania,1030-1230,74
California Lutheran University,Thousand Oaks,California,1070-1240,74
Capital University,Columbus,Ohio,1030-1210,74
Gordon College,Wenham,Massachusetts,1020-1280,74
Kalamazoo College,Kalamazoo,Michigan,1170-1370,74
Marietta College,Marietta,Ohio,1010-1220,74
Mitchell College,New London,Connecticut,>ï¿½ï¿½<!-,74
Ripon College,Ripon,Wisconsin,>970-1170,74
Rose-Hulman Institute of Technology,Terre Haute,Indiana,1260-1460,74
Russell Sage College,Troy,New York,>ï¿½ï¿½<!-,74
Shenandoah University,Winchester,Virginia,1000-1200,74
SUNY Purchase College,Purchase,New York,1100-1280,74
The College of St. Scholastica,Duluth,Minnesota,1050-1270,74
Asbury University,Wilmore,Kentucky,1080-1320,75
Heidelberg University,Tiffin,Ohio,>960-1180,75
Illinois College,Jacksonville,Illinois,>820-1120,75
Lesley University,Cambridge,Massachusetts,1000-1210,75
Norwich University,Northfield,Vermont,>930-1160,75
Rivier University,Nashua,New Hampshire,>880-1050,75
Saint Elizabeth University,Morristown,New Jersey,>890-1100,75
Salve Regina University,Newport,Rhode Island,1020-1190,75
University of Mary Washington,Fredericksburg,Virginia,1090-1270,75
Wartburg College,Waverly,Iowa,>970-1200,75
Widener University,Chester,Pennsylvania,1040-1210,75
William Paterson University of New Jersey,Wayne,New Jersey,>890-1090,75
Bridgewater College,Bridgewater,Virginia,>980-1170,76
Cabrini University,Radnor,Pennsylvania,>940-1160,76
Christopher Newport University,Newport News,Virginia,1110-1280,76
Ferrum College,Ferrum,Virginia,>910-1060,76
Franklin College,Franklin,Indiana,>970-1150,76
Ithaca College,Ithaca,New York,n>23-28</,76
Methodist University,Fayetteville,North Carolina,>940-1150,76
Nazareth College,Rochester,New York,>ï¿½ï¿½<!-,76
Otterbein University,Westerville,Ohio,>990-1240,76
Pfeiffer University,Misenheimer,North Carolina,>940-1100,76
University of La Verne,La Verne,California,>960-1150,76
University of Redlands,Redlands,California,1030-1250,76
University of Scranton,Scranton,Pennsylvania,1100-1280,76
Berry College,Mount Berry,Georgia,1090-1320,77
Calvin University,Grand Rapids,Michigan,1100-1320,77
Carthage College,Kenosha,Wisconsin,1000-1230,77
Maranatha Baptist University,Watertown,Wisconsin,1130-1320,77
Stockton University,Galloway,New Jersey,1020-1190,77
SUNY Morrisville,Morrisville,New York,>860-1060,77
University of Hartford,West Hartford,Connecticut,1020-1210,77
University of Mount Union,Alliance,Ohio,>970-1160,77
Virginia Wesleyan University,Norfolk,Virginia,>960-1190,77
Clarkson University,Potsdam,New York,1150-1350,78
